METRO_NAME,EMPIRICAL_UNDERPRODUCTION_2012,EMPIRICAL_UNDERPRODUCTION_2013,EMPIRICAL_UNDERPRODUCTION_2014,EMPIRICAL_UNDERPRODUCTION_2015,EMPIRICAL_UNDERPRODUCTION_2016,EMPIRICAL_UNDERPRODUCTION_2017,EMPIRICAL_UNDERPRODUCTION_2018,EMPIRICAL_UNDERPRODUCTION_2019,EMPIRICAL_UNDERPRODUCTION_2021,EMPIRICAL_UNDERPRODUCTION_2022,EMPIRICAL_UNDERPRODUCTION_2023,HOUSEHOLDS_2012,HOUSEHOLDS_2013,HOUSEHOLDS_2014,HOUSEHOLDS_2015,HOUSEHOLDS_2016,HOUSEHOLDS_2017,HOUSEHOLDS_2018,HOUSEHOLDS_2019,HOUSEHOLDS_2021,HOUSEHOLDS_2022,HOUSEHOLDS_2023,HOUSING_UNITS_2012,HOUSING_UNITS_2013,HOUSING_UNITS_2014,HOUSING_UNITS_2015,HOUSING_UNITS_2016,HOUSING_UNITS_2017,HOUSING_UNITS_2018,HOUSING_UNITS_2019,HOUSING_UNITS_2021,HOUSING_UNITS_2022,HOUSING_UNITS_2023,ADJUSTED_HOUSING_UNITS_2012 ,ADJUSTED_HOUSING_UNITS_2013 ,ADJUSTED_HOUSING_UNITS_2014 ,ADJUSTED_HOUSING_UNITS_2015 ,ADJUSTED_HOUSING_UNITS_2016 ,ADJUSTED_HOUSING_UNITS_2017 ,ADJUSTED_HOUSING_UNITS_2018 ,ADJUSTED_HOUSING_UNITS_2019 ,ADJUSTED_HOUSING_UNITS_2021 ,ADJUSTED_HOUSING_UNITS_2022 ,ADJUSTED_HOUSING_UNITS_2023,UNINHABITABLE_UNITS_2012,UNINHABITABLE_UNITS_2013 ,UNINHABITABLE_UNITS_2014 ,UNINHABITABLE_UNITS_2015 ,UNINHABITABLE_UNITS_2016 ,UNINHABITABLE_UNITS_2017 ,UNINHABITABLE_UNITS_2018 ,UNINHABITABLE_UNITS_2019 ,UNINHABITABLE_UNITS_2021 ,UNINHABITABLE_UNITS_2022 ,PROBLEM_HOUSING_UNITS_2023,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,POPULATION_2021,POPULATION_2022,POPULATION_2023,MISSING_HOUSEHOLDS_2012,MISSING_HOUSEHOLDS_2013,MISSING_HOUSEHOLDS_2014,MISSING_HOUSEHOLDS_2015,MISSING_HOUSEHOLDS_2016,MISSING_HOUSEHOLDS_2017,MISSING_HOUSEHOLDS_2018,MISSING_HOUSEHOLDS_2019,MISSING_HOUSEHOLDS_2021,MISSING_HOUSEHOLDS_2022,MISSING_HOUSEHOLDS_2023,ANNUAL_PRODUCTION_2012,ANNUAL_PRODUCTION_2013,ANNUAL_PRODUCTION_2014,ANNUAL_PRODUCTION_2015,ANNUAL_PRODUCTION_2016,ANNUAL_PRODUCTION_2017,ANNUAL_PRODUCTION_2018,ANNUAL_PRODUCTION_2019,ANNUAL_PRODUCTION_2021,ANNUAL_PRODUCTION_2022,ANNUAL_PRODUCTION_2023,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2012,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2013,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2014,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2015,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2016,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2017,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2018,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2019,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2021,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2022,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_2012,UNDERPRODUCTION_SHARE_OF_UNITS_2013,UNDERPRODUCTION_SHARE_OF_UNITS_2014,UNDERPRODUCTION_SHARE_OF_UNITS_2015,UNDERPRODUCTION_SHARE_OF_UNITS_2016,UNDERPRODUCTION_SHARE_OF_UNITS_2017,UNDERPRODUCTION_SHARE_OF_UNITS_2018,UNDERPRODUCTION_SHARE_OF_UNITS_2019,UNDERPRODUCTION_SHARE_OF_UNITS_2021,UNDERPRODUCTION_SHARE_OF_UNITS_2022,UNDERPRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2012,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2013,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2014,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2015,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2016,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2017,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2018,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2019,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2021,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2022,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2023,BURDENED_2012,BURDENED_2013,BURDENED_2014,BURDENED_2015,BURDENED_2016,BURDENED_2017,BURDENED_2018,BURDENED_2019,BURDENED_2021,BURDENED_2022,BURDENED_2023,RENT_2012,RENT_2013,RENT_2014,RENT_2015,RENT_2016,RENT_2017,RENT_2018,RENT_2019,RENT_2021,RENT_2022,RENT_2023,VALUE_2012,VALUE_2013,VALUE_2014,VALUE_2015,VALUE_2016,VALUE_2017,VALUE_2018,VALUE_2019,VALUE_2021,VALUE_2022,VALUE_2023,VACATION_2012,VACATION_2013,VACATION_2014,VACATION_2015,VACATION_2016,VACATION_2017,VACATION_2018,VACATION_2019,VACATION_2021,VACATION_2022,VACATION_2023
"McAllen-Edinburg-Mission, TX",20641.62,24041.25,24979.53,23498.86,24212.14,18777.23,28152.23,21731.05,19777.17,22633.25,20995.74,222851,223366,225998,225693,234716,239825,237324,247545,268598,270890,277001,241673,240895,244155,250218,254197,263365,266957,272173,292283,293338,300250,236813,236945,238975,245332,249644,259603,260398,267895,287719,288190,295393,4860,3950,5180,4886,4553,3762,6559,4278,4564,5148,4857,575122,582608,596632,607039,614098,622472,622940,626151,642321,655225,665897,22343.87743,25192.33555,25387.26641,30336.39441,26099.37063,25299.03314,37485.7421,28289.32878,24255.49403,25132.14574,24321.60853,NA,-778,3260,6063,3979,9168,3592,5216,10055,1055,6912,NA,-0.32%,1.34%,2.42%,1.57%,3.48%,1.35%,1.92%,3.44%,0.36%,2.30%,8.54%,9.98%,10.23%,9.39%,9.52%,7.13%,10.55%,7.98%,6.77%,7.72%,6.99%,2,1,2,3,3,8,3,11,19,9,11,0.494203256,0.448985754,0.503775725,0.455810373,0.464821237,0.455549769,0.470873265,0.449021797,0.43189461,0.465240883,0.427796705,621,655,668,690,697,695,703,763,820,886,936,80300,79400,79400,81700,85200,86100,87500,93400,107500,123700,151200,13985,15957,16757,14544,14929,13896,14539,13686,9636,15127,14178
"Stockton, CA",-110.71,2467.72,6602.68,7823.13,7089.12,10339.82,13213.54,16202.58,19957.10,17788.96,18322.61,215760,216307,221873,223062,227186,226624,231919,230242,241761,241902,251091,233980,234684,235544,237453,239826,241094,243934,246098,253548,258265,263750,232082,232638,233801,236052,238802,239880,242643,244596,251931,257507,261993,1898,2046,1743,1401,1024,1214,1291,1502,1617,758,1757,536753,539427,550031,562297,567263,575267,565826,572209,599331,609116,621514,5165.042773,7603.204781,7082.889692,9200.024916,6996.017725,11680.58775,11753.89398,18137.60428,17180.04459,20284.63086,15876.2509,NA,704,860,1909,2373,1268,2840,2164,3725,4717,5485,NA,0.30%,0.37%,0.80%,0.99%,0.53%,1.16%,0.88%,1.47%,1.83%,2.08%,-0.05%,1.05%,2.80%,3.29%,2.96%,4.29%,5.42%,6.58%,7.87%,6.89%,6.95%,99,74,41,43,53,36,36,21,10,13,12,0.554404972,0.545308666,0.549094292,0.53380868,0.503318308,0.533673762,0.513813674,0.50267709,0.490512182,0.491544329,0.521343408,986,995,1027,1036,1105,1148,1243,1260,1484,1608,1655,190600,208900,250800,278400,316000,349200,366000,385600,457600,535800,531500,467,932,2122,1063,846,1660,2105,2870,1632,1245,1381
"Salem, OR",3477.45,4049.08,4916.48,5844.35,6185.65,6127.95,9240.54,13082.18,11087.35,10840.86,8906.30,114389,114077,114483,114525,116787,115718,119512,121060,124719,128254,129089,120952,119545,121659,122261,123242,125086,126498,126956,130165,131685,134025,120952,119311,120585,121635,122704,124410,125667,125990,129142,131023,133789,0,234,1074,626,538,676,831,966,1023,662,236,249120,254033,256863,262090,266711,270886,264521,268422,268600,271862,270884,4115.234797,3408.79313,5042.221943,6883.905933,5965.045694,8603.858302,8971.368135,11389.69968,8832.760879,6854.433829,6811.289104,NA,-1407,2114,602,981,1844,1412,458,1604.5,1520,2340,NA,-1.18%,1.74%,0.49%,0.80%,1.47%,1.12%,0.36%,1.23%,1.15%,1.75%,2.88%,3.39%,4.04%,4.78%,5.02%,4.90%,7.30%,10.30%,8.52%,8.23%,6.65%,35,30,26,25,29,29,14,4,6,5,13,0.510387475,0.475279826,0.522368421,0.475648028,0.484547823,0.447546683,0.518180771,0.45484129,0.472427164,0.497569988,0.531123347,780,739,782,817,892,967,1006,1083,1167,1278,1391,189100,182200,190800,205000,228000,241700,273400,295000,360300,409400,437200,1196,2335,1231,989,1175,1339,1172,NA,455,676,694
"Salinas, CA",5658.49,4842.47,3417.52,6164.27,8624.80,8615.09,11374.42,4933.28,9867.76,9536.45,7894.28,108065,107882,106542,108550,107652,108877,110602,110484,115386,114390,114161,115050,115879,116599,115909,113613,115749,116584,118932,119594,119232,120026,114672,115371,116599,115081,113456,115174,116158,118150,119434,118700,119983,378,508,0,828,157,575,426,782,160,532,43,273051,269278,274041,270187,275564,281849,275796,267700,276635,271806,268644,6535.469665,6607.023648,7759.450344,6921.686106,8615.43024,9017.366698,10857.45123,6738.175772,7758.535181,7739.947993,7626.882247,NA,829,720,-690,-2296,2136,835,2348,331,-362,794,NA,0.72%,0.62%,-0.60%,-2.02%,1.85%,0.72%,1.97%,0.28%,-0.30%,0.66%,4.92%,4.18%,2.93%,5.32%,7.59%,7.44%,9.76%,4.15%,8.25%,8.00%,6.58%,11,18,39,19,8,7,4,61,8,7,14,0.552660135,0.547191753,0.546680481,0.508128761,0.527135301,0.543867107,0.523567956,0.543159461,0.552646852,0.497933499,0.569075717,1185,1217,1233,1290,1314,1467,1511,1658,1767,1909,2004,318200,363800,391200,429100,481000,517200,563000,602900,683200,732500,759100,6768,4924,5880,5641,8153,7469,8126,5291,6132,7077,7290
"Coeur d'Alene, ID",-142.59,959.20,817.97,1274.25,1982.84,2675.97,3238.85,3456.01,2683.38,4553.87,4879.24,53283,53511,53667,56861,56848,57970,62381,62625,65927,69347,72211,56360,56800,57709,59215,59321,60891,64295,65032,69792,71930,74350,56302,55348,57355,58926,59276,59672,63890,64626,69357,71191,74030,58,1452,354,289,45,1219,405,406,435,739,320,109940,110983,113807,116705,120610,122129,124544,127692,140249,143821,145809,202.1481234,114.9000644,1735.825234,472.5682737,1493.755349,1409.020393,1551.238812,2215.013114,2682.887423,2790.967493,2940.660864,NA,440,909,1506,106,1570,3404,737,2380,2138,2420,NA,0.77%,1.58%,2.54%,0.18%,2.58%,5.29%,1.13%,3.41%,2.97%,3.25%,-0.25%,1.69%,1.42%,2.15%,3.34%,4.39%,5.04%,5.31%,3.84%,6.33%,6.56%,111,54,75,65,47,33,46,38,70,17,15,0.540794557,0.453489999,0.314619204,0.479104224,0.501290731,0.398832924,0.551175922,0.390995025,0.55851362,0.495951027,0.484408955,828,798,792,865,914,972,1001,966,1176,1473,1426,177500,170800,192100,197700,239600,263500,276500,306900,444900,547800,556500,5270,5686,5989,5902,NA,NA,5430,6781,6828,6461,5740
"Wenatchee, WA",993.70,56.67,97.83,1799.07,-174.82,-1609.29,1289.45,566.93,3508.00,1070.34,3387.16,41750,41367,41500,41305,43186,42469,47856,44479,47559,48515,49672,45592,45854,46063,45707,46933,47450,50086,48874,49060,51325,51660,43905,44839,45384,44611,46684,47148,49580,48656,48747,51325,51191,1687,1015,679,1096,249,302,506,218,313,0,469,90174,89894,89072,92137,93048,93692,93625,94748,97455,98489,99216,1010.664049,1390.78331,1816.031542,2895.068234,1108.46145,901.1970703,591.0938512,2399.979728,2207.666938,1385.327334,2307.197162,NA,262,209,-356,1226,517,2636,-1212,93,2265,335,NA,0.57%,0.45%,-0.78%,2.61%,1.09%,5.26%,-2.48%,0.19%,4.41%,0.65%,2.18%,0.12%,0.21%,3.94%,-0.37%,-3.39%,2.57%,1.16%,7.15%,2.09%,6.56%,46,117,116,35,154,246,94,133,13,120,16,0.378946603,0.436206669,0.369773899,0.294389594,0.341852806,0.306611306,0.334720818,0.33115594,0.34642701,0.337553022,0.452121356,743,784,753,796,830,852,932,959,1107,1294,1133,219500,222900,227600,248900,250100,284600,304800,327500,406200,474900,489300,6028,6053,6568,7125,NA,6930,5050,7201,NA,5292,5749
"Sebastian-Vero Beach, FL",-1975.22,-4638.17,-3219.18,-6253.85,-4873.43,-3201.49,-3115.60,1177.19,-520.29,3448.65,5055.25,58950,57435,55618,55494,55427,58044,57636,63917,69974,72199,72832,65997,67078,67524,68389,67513,68479,71757,72975,76373,75404,77122,65369,66489,66001,68389,67181,68065,70735,72112,76373,75273,76275,628,589,1523,0,332,414,1022,863,0,131,847,119235,121585,123646,126456,133643,134318,133883,138932,140688,145396,147923,1425.026253,1470.54885,4174.211374,3682.33645,3913.545157,3730.766928,6763.425984,5882.228404,2266.674444,2773.99849,4625.376591,NA,1081,446,865,-876,966,3278,1218,1699,-969,1718,NA,1.61%,0.66%,1.26%,-1.30%,1.41%,4.57%,1.67%,2.22%,-1.29%,2.23%,-2.99%,-6.91%,-4.77%,-9.14%,-7.22%,-4.68%,-4.34%,1.61%,-0.68%,4.57%,6.55%,226,295,268,303,293,266,271,124,211,45,17,0.660163036,0.556788753,0.594764258,0.450898815,0.534999186,0.597938144,0.477477477,0.483457403,0.628287278,0.451981385,0.452014702,771,858,924,911,912,906,939,1004,1159,1261,1409,139500,151100,167800,174000,183600,200000,220800,235300,279400,344400,370600,10673,9471,9465,9620,10721,11384,9180,9232,8516,NA,NA
"Ogden-Clearfield, UT",7698.66,7659.38,9458.11,9766.42,8414.82,11027.85,13312.11,12883.46,13651.13,11429.00,14509.19,177118,176309,180071,180987,183166,188290,190076,197220,206987,211809,216281,184876,184921,188967,191694,193154,197286,199403,204935,215094,220410,224727,184049,183685,188607,190579,192406,196578,198881,204202,214614,219994,223222,827,1236,360,1115,748,708,522,733,480,416,1505,400742,409824,417497,424806,436545,443731,448027,454810,477128,486743,492826,5498.818805,5923.742969,8562.442057,9818.164369,8091.923706,9429.860045,12012.6787,9528.060779,10408.36404,8593.861492,10129.66081,NA,45,4046,2727,1460,4132,2117,5532,5079.5,5316,4317,NA,0.02%,2.14%,1.42%,0.76%,2.09%,1.06%,2.70%,2.36%,2.41%,1.92%,4.16%,4.14%,5.01%,5.09%,4.36%,5.59%,6.68%,6.29%,6.35%,5.19%,6.46%,15,20,15,22,35,22,21,25,21,30,18,0.433406787,0.403395961,0.417244641,0.418643059,0.357742103,0.376933488,0.379256145,0.37953524,0.442758091,0.417275889,0.4496294,805,840,847,886,888,931,1000,1063,1123,1336,1528,190400,199600,206100,216200,228100,251800,282800,306600,395400,479100,487400,1640,3450,2608,2742,3119,3668,4268,2548,1666,2314,2437
"Modesto, CA",3573.59,2796.52,5987.42,9144.58,11251.17,10197.29,13335.13,12044.31,10547.23,12066.37,11893.52,167496,167412,169038,171958,172883,173573,175170,174698,174210,177100,179151,179047,179665,179993,180208,180540,181177,181988,182544,183055,184331,186121,176354,178306,178040,178850,179453,179833,181300,182135,182201,183252,185315,2693,1359,1953,1358,1087,1344,688,409,854,1079,806,401218,406223,412804,418019,419651,423847,421103,423024,423903,425428,426786,3863.613912,5066.587104,6226.214029,7084.456259,8740.022529,7408.224672,10196.78943,10234.67784,9359.740759,8917.490572,8666.640537,NA,618,328,215,332,637,811,556,255.5,1276,1790,NA,0.34%,0.18%,0.12%,0.18%,0.35%,0.45%,0.30%,0.14%,0.69%,0.96%,2.00%,1.56%,3.33%,5.07%,6.23%,5.63%,7.33%,6.60%,5.76%,6.55%,6.39%,50,59,33,23,18,21,13,19,25,14,19,0.54872608,0.574040722,0.540012169,0.50652351,0.540661364,0.47319385,0.493382764,0.48891217,0.512300408,0.53542721,0.478380785,959,967,959,1025,1036,1136,1158,1231,1358,1436,1595,159800,175000,216000,243500,274300,288200,318900,335400,397200,450700,456700,225,115,320,580,566,364,244,506,610,327,95
"Washington-Arlington-Alexandria, DC-VA-MD-WV",89981.44,103097.16,116212.69,125243.15,118470.12,144716.58,161359.72,156597.33,132065.59,133950.96,144444.75,1949272,1976602,1995146,2013466,2029815,2046717,2070306,2080291,2201947,2238474,2259793,2077161,2093043,2115559,2138349,2154093,2165696,2186027,2200728,2317196,2340552,2362391,2068879,2087916,2107859,2129923,2146958,2157107,2174161,2192703,2309291,2331790,2354246,8282,5127,7700,8426,7135,8589,11866,8025,7905,8762,8145,4360456,4423570,4491292,4540574,4576139,4647220,4572757,4584216,4651348,4679945,4710430,106785.5654,110077.2006,123017.5108,134311.2816,127735.5932,145495.9295,153999.4481,157137.8897,123154.5097,109850.7226,119912.4726,NA,15882,22516,22790,15744,11603,20331,14701,58234,23356,21839,NA,0.76%,1.06%,1.07%,0.73%,0.54%,0.93%,0.67%,2.51%,1.00%,0.92%,4.33%,4.93%,5.49%,5.86%,5.50%,6.68%,7.38%,7.12%,5.70%,5.72%,6.11%,13,13,12,14,24,11,12,14,27,20,20,0.469487158,0.456870086,0.473196563,0.462039225,0.459990505,0.448890264,0.456532038,0.440073162,0.460005296,0.456079677,0.459153523,1424,1481,1525,1553,1570,1629,1670,1708,1762,1864,1945,367600,373500,386900,401500,411400,424600,433200,446300,497800,553100,574000,17986,19077,18766,16206,16585,17140,13274,16937,16612,14887,13214
"Appleton, WI",-373.15,198.55,195.60,1331.42,1434.35,1060.65,4066.18,4015.32,2127.77,4119.59,4687.39,68973,70571,71492,71703,72994,74033,74603,74974,77071,78707,78027,73790,73901,74871,75087,76270,76674,76662,77445,79655,80083,80319,73361,73901,74871,74854,76003,76674,76585,77196,79485,79653,79981,429,0,0,233,267,0,77,249,170,430,338,142111,145333,145928,147288,147882,150110,146626,147438,150589,152554,153910,539.2389081,0,0,854.5437388,755.8615355,0,2207.650693,2370.118056,655.4430432,1076.417568,2609.563611,NA,111,970,216,1183,404,-12,783,1105,428,236,NA,0.15%,1.30%,0.29%,1.55%,0.53%,-0.02%,1.01%,1.39%,0.53%,0.29%,-0.51%,0.27%,0.26%,1.77%,1.88%,1.38%,5.30%,5.18%,2.67%,5.14%,5.84%,121,110,115,75,79,94,39,41,102,31,21,0.38073149,0.378599142,0.350904769,0.422889542,0.359075219,0.373311406,0.289604162,0.332176422,0.347741462,0.320986243,0.359989571,696,714,714,775,738,764,786,803,862,955,1087,156400,159000,158500,159600,163400,168300,181500,183900,228300,252300,274600,845,472,809,916,516,561,856,953,1039,NA,NA
"Monroe, MI",2262.27,3890.72,2463.45,1408.18,769.18,1595.03,3380.45,1822.25,2521.27,2722.93,3905.42,57506,58479,57879,58885,58789,59528,61586,60875,61575,62946,62936,62718,62536,63513,63538,63490,63697,64237,65059,66128,66303,66928,61368,61600,62394,63126,63392,63202,63536,64033,65552,65786,65744,1350,936,1119,412,98,495,701,1026,576,517,1184,122161,123106,122683,123056,123568,124043,122732,122808,126868,127682,127749,3094.255809,3893.116665,3890.000925,2576.125662,2316.885566,2183.457332,2143.950932,1844.289566,3256.68887,2300.601731,3396.77864,NA,-182,977,25,-48,207,540,822,534.5,175,625,NA,-0.29%,1.54%,0.04%,-0.08%,0.32%,0.84%,1.26%,0.81%,0.26%,0.93%,3.61%,6.22%,3.88%,2.22%,1.21%,2.50%,5.26%,2.80%,3.81%,4.11%,5.84%,19,8,27,64,100,71,40,90,71,61,22,0.430602007,0.383825417,0.486940908,0.465536338,0.428132992,0.488039867,0.520338565,0.540787307,0.432415902,0.538491029,0.56346441,803,754,742,731,785,781,848,827,893,1060,983,128100,132100,140500,145800,158800,165600,168800,173200,205100,212800,245000,124,593,NA,NA,305,589,NA,NA,NA,NA,NA
"Fresno, CA",-296.27,619.70,4223.95,10050.99,9094.16,10421.98,16292.59,17301.53,18770.16,15491.38,19995.61,292278,293517,297992,304208,303214,305820,309520,315973,322648,326981,328894,313562,315694,318368,321397,322750,324968,329184,331822,336304,341208,344281,311828,314382,316987,319271,319672,323215,325214,330984,334257,339586,342077,1734,1312,1381,2126,3078,1753,3970,838,2047,1622,2204,716269,721794,732426,739427,743876,752641,742390,746111,759247,762936,768817,4418.887595,6484.618173,7923.190769,9431.99371,9896.628955,11929.50723,15724.3685,15727.50375,13568.34539,11187.93333,15937.05896,NA,2132,2674,3029,1353,2218,4216,2638,2241,4904,3073,NA,0.68%,0.84%,0.94%,0.42%,0.68%,1.28%,0.80%,0.67%,1.44%,0.89%,-0.09%,0.20%,1.33%,3.13%,2.82%,3.21%,4.95%,5.21%,5.58%,4.54%,5.81%,102,114,78,45,58,56,49,40,29,48,23,0.564688641,0.548209249,0.54328465,0.542286851,0.575142343,0.522686293,0.515898862,0.515941258,0.485945127,0.533351451,0.556219651,858,859,891,897,930,955,996,1034,1164,1304,1418,174200,185200,204700,220100,238100,248700,274400,288300,331800,382500,396000,4803,5190,6293,4584,5049,5942,4546,4673,5404,4134,4589
"Boise City, ID",6452.62,7636.15,7730.03,7739.98,8145.38,9218.66,11994.70,13258.61,14685.39,9899.19,16114.99,203522,202645,207831,211716,215745,222245,230905,237594,255398,260611,271103,215349,211911,218040,220297,224081,233499,240054,246046,264583,272122,280297,213994,210547,216213,219438,223340,232093,238409,245068,263486,271468,279480,1355,1364,1827,859,741,1406,1645,978,1097,654,817,431927,433956,446499,456592,462652,483181,488566,500087,537336,544318,558994,6427.16335,5148.479423,5448.076242,4643.984363,4717.267169,7575.629063,7574.711607,8431.33866,9527.131592,7357.747637,10416.0403,NA,-3438,6129,2257,3784,9418,6555,5992,9268.5,7539,8175,NA,-1.62%,2.81%,1.02%,1.69%,4.03%,2.73%,2.44%,3.50%,2.77%,2.92%,3.00%,3.60%,3.55%,3.51%,3.64%,3.95%,5.00%,5.39%,5.55%,3.64%,5.75%,32,27,30,39,45,42,47,37,30,75,24,0.45860515,0.452802399,0.416046246,0.449906458,0.4032811,0.417601653,0.420542661,0.457626464,0.433807479,0.486504581,0.484048267,775,799,828,849,858,920,946,1049,1222,1421,1511,153400,162800,173200,193100,207600,228800,264400,293700,426800,486500,471700,2928,5182,4539,3729,4367,5677,4295,3079,NA,4240,5470
"Vineland-Bridgeton, NJ",-1325.37,-2131.23,-2270.25,-1374.60,-1565.05,-1986.20,-890.31,-796.68,783.91,1750.12,2389.97,37942,37454,38855,37288,37839,38536,38556,38842,40082,40534,40167,41333,42009,43120,41195,41693,43059,43210,42195,42276,41726,41986,41236,41522,43068,40527,41296,42449,42853,41738,42201,41716,41666,97,487,52,668,397,610,357,457,75,10,320,93354,92914,95446,94390,92740,92675,81212,79318,81337,82389,82072,68.12695279,61.02024679,0,0,0,0,1408.468043,149.7293705,856.0133543,862.3043552,1791.070537,NA,676,1111,-1925,498,1366,151,-1015,40.5,-550,260,NA,1.61%,2.58%,-4.67%,1.19%,3.17%,0.35%,-2.41%,0.10%,-1.32%,0.62%,-3.21%,-5.07%,-5.26%,-3.34%,-3.75%,-4.61%,-2.06%,-1.89%,1.85%,4.19%,5.69%,233,276,278,244,258,265,223,222,133,57,25,0.603847591,0.636231259,0.572384807,0.595212249,0.567309624,0.663184922,0.670130349,0.538448394,0.525648601,0.51120756,0.518812527,962,961,946,980,976,1053,1054,1143,1131,1119,1196,165300,158800,166000,157300,165900,162100,166900,164900,196400,202300,220500,887,420,NA,NA,503,335,379,248,245,449,137
"Greeley, CO",1500.03,431.52,1652.61,748.89,3189.61,4014.89,2389.30,5334.07,5103.76,6670.88,5240.31,63860,63061,66204,67992,69287,70657,73342,73319,79134,83543,89210,66928,66389,68677,71160,71862,73893,76699,76381,82933,87484,93447,66784,65880,68459,71057,71761,73463,76391,76325,82567,86679,93267,144,509,218,103,101,430,308,56,366,805,180,139900,142028,147783,153330,156875,158486,155184,160102,169115,181193,188665,1172.413672,92.83010932,568.9643418,394.561742,2094.531664,3131.470845,1686.855355,4451.542471,4361.960811,5361.648656,4606.487195,NA,-539,2288,2483,702,2031,2806,-318,3276,4551,5963,NA,-0.81%,3.33%,3.49%,0.98%,2.75%,3.66%,-0.42%,3.95%,5.20%,6.38%,2.24%,0.65%,2.41%,1.05%,4.44%,5.43%,3.12%,6.98%,6.15%,7.63%,5.61%,44,88,47,96,34,24,78,15,22,11,26,0.469450239,0.453769151,0.445715103,0.412251085,0.480935875,0.458158842,0.436097664,0.489255355,0.510937968,0.455692663,0.564246154,895,833,898,983,962,1003,1059,1211,1333,1416,1569,194400,195200,212000,242700,274200,295100,325400,366800,416700,456100,475400,435,582,81,398,NA,385,330,488,663,79,245
"Yakima, WA",5757.84,6010.12,7254.12,5530.97,5510.36,5108.62,4867.97,5666.29,7541.49,8417.19,5114.75,78473,79742,79700,81709,81082,82106,83321,83991,86991,87616,89414,83773,84304,84627,85352,85724,87732,87848,88454,90370,91074,92876,83289,83869,84017,85206,85234,85997,87433,87902,89605,90225,92525,484,435,610,146,490,1735,415,552,765,849,351,183761,184158,186769,186186,186402,187421,184372,186208,189809,192603,192629,6333.515527,5857.160291,7224.874959,4707.161606,5341.204027,4661.25648,4584.688678,5121.658216,5529.466664,6328.940516,3576.241297,NA,531,323,725,372,2008,116,606,958,704,1802,NA,0.63%,0.38%,0.85%,0.43%,2.29%,0.13%,0.69%,1.06%,0.77%,1.94%,6.87%,7.13%,8.57%,6.48%,6.43%,5.82%,5.54%,6.41%,8.35%,9.24%,5.51%,5,6,4,9,14,17,33,23,7,3,27,0.45984543,0.49627061,0.446838008,0.444838281,0.386710348,0.389323713,0.405602001,0.432357634,0.345483503,0.446417561,0.431605777,728,772,793,764,770,771,797,839,880,1051,1119,157900,159800,156700,163200,166300,177700,186500,213800,260200,300000,318900,1766,1467,1523,1371,1263,960,1304,1431,NA,1079,563
"Bridgeport-Stamford-Norwalk, CT",12235.58,7240.58,17994.35,10311.42,6327.82,9578.70,13545.69,12979.65,21520.01,19521.01,20393.15,334255,328062,338420,333528,335318,336431,345632,340556,357271,353615,356932,356086,357730,359369,360445,361908,367525,369082,369352,375186,373567,373173,354552,355650,357243,357463,360337,365533,366814,367915,373207,372007,371629,1534,2080,2126,2982,1571,1992,2268,1437,1979,1560,1544,748992,756324,764277,766891,768082,774142,753456,755221,771892,763427,769055,15066.50307,17548.07288,18948.90395,16733.35109,13886.58942,20818.23601,16615.32399,22200.80553,18659.48453,19268.82196,16422.42856,NA,1644,1639,1076,1463,5617,1557,270,2917,-1619,-394,NA,0.46%,0.46%,0.30%,0.40%,1.53%,0.42%,0.07%,0.78%,-0.43%,-0.11%,3.44%,2.02%,5.01%,2.86%,1.75%,2.61%,3.67%,3.51%,5.74%,5.23%,5.46%,23,47,14,50,86,69,65,69,26,29,28,0.492351654,0.491784482,0.523886815,0.512927701,0.529668839,0.511042648,0.527295275,0.465539482,0.525285909,0.516076833,0.521865189,1266,1330,1382,1428,1412,1438,1439,1521,1644,1776,1862,403400,420600,408900,420900,423200,425900,435000,444500,469600,536600,574800,4872,4960,5581,5291,6138,5815,5795,5661,5640,3573,5603
